Date	Close	Open	High	Low	Volume	Adj Close
5/11/2016	16.75	16.87	16.87	16.75	1950	15.55
5/12/2016	16.32	16.75	16.75	16.24	1920	15.12
5/13/2016	16.12	16.12	16.12	16.12	70	14.92
5/16/2016	15.81	15.82	15.82	15.81	720	14.61
5/17/2016	15.81	15.63	15.81	15.63	6840	14.61
5/18/2016	16.11	15.8	16.11	15.8	1490	14.91
5/19/2016	16.49	16.28	16.49	16.15	980	15.29
5/20/2016	17	16.8	17	16.75	19850	15.8
5/23/2016	17.1	17	17.1	17	3350	15.9
5/24/2016	16.98	17	17	16.63	540	15.78
5/25/2016	17	16.57	17.09	16.57	1830	15.8
5/26/2016	16.95	16.95	16.95	16.95	820	15.75
5/27/2016	16.79	16.91	16.94	16.79	2630	15.59
5/30/2016	16.79	16.79	16.79	16.79	1330	15.59
5/31/2016	16.62	16.62	16.79	16.62	360	15.42
6/1/2016	17	16.67	17.1	16.67	12100	15.8
6/2/2016	17.33	17.01	17.33	17.01	1490	16.13
6/3/2016	17.01	17.33	17.33	17.01	400	15.81
6/7/2016	17.3	17.32	17.33	17.3	100	16.1
6/8/2016	17.43	17.3	17.43	17.17	5950	16.23
6/9/2016	17.34	17.34	17.85	17.34	1190	16.14
6/10/2016	18.27	17.85	18.27	17.84	16810	17.07
6/13/2016	18.61	18.27	18.69	18.27	7120	17.41
6/14/2016	18.61	18.37	18.69	18.37	4310	17.41
6/15/2016	17.84	17.84	17.84	17.84	10	16.44
6/16/2016	17.42	17.31	17.42	17.31	410	16.02
6/20/2016	16.07	16.47	16.47	16.02	1270	14.67
6/21/2016	15.98	15.98	15.98	15.89	620	14.58
6/22/2016	15.64	15.81	16.13	15.64	1990	14.24
6/23/2016	15.65	16.06	16.06	15.65	70	14.25
6/24/2016	16.15	15.68	16.15	15.68	17620	14.75
6/27/2016	16.15	16.32	16.32	16.15	670	14.75
6/28/2016	16.46	15.73	16.63	15.73	950	15.06
6/29/2016	16.07	15.98	16.95	15.98	130	14.67
6/30/2016	16.12	16.12	16.12	16.12	20	14.72
7/1/2016	15.78	15.72	16.6	15.72	720	14.38
7/4/2016	16.25	16.24	16.71	16.24	460	14.85
7/8/2016	15.89	15.81	15.89	15.81	60	14.49
7/11/2016	16.37	15.81	16.37	15.81	50	14.97
7/12/2016	16.86	15.97	16.86	15.97	900	15.46
7/13/2016	16.42	16.42	16.42	16.42	10	15.02
7/14/2016	16.42	16.41	16.75	15.97	4470	15.02
7/15/2016	16.32	16.75	16.75	16.32	190	14.92
7/18/2016	15.97	16.32	16.32	15.97	230	14.57
7/19/2016	15.98	15.97	15.98	15.97	1880	14.58
7/20/2016	16.32	15.98	16.41	15.98	1110	14.92
7/21/2016	15.98	15.98	15.98	15.98	0	14.58
7/22/2016	15.98	15.98	15.98	15.98	0	14.58
7/26/2016	16.15	16.15	16.15	16.15	180	14.75
7/27/2016	15.98	15.98	15.98	15.98	0	14.58
7/28/2016	16.07	16.04	16.07	16.04	160	14.67
7/29/2016	16.07	16.07	16.07	16.07	60	14.67
8/1/2016	16.15	16.07	16.15	16.07	210	14.75
8/2/2016	16.15	16.15	16.15	16.15	1040	14.75
8/3/2016	16.16	16.07	16.16	16.07	1500	14.76
8/4/2016	16.23	16.23	16.23	16.23	760	14.83
8/5/2016	16.41	16.41	16.41	16.41	30	15.01
8/8/2016	16.57	16.41	16.57	16.41	790	15.17
8/9/2016	16.57	16.09	16.57	16.09	3360	15.17
8/10/2016	16.49	16.09	16.57	16.09	60	15.09
8/11/2016	16.57	16.41	16.57	16.15	1540	15.17
8/12/2016	16.56	16.56	16.56	16.56	20	15.16
8/16/2016	16.52	16.52	16.52	16.52	20	15.12
8/17/2016	16.52	16.52	16.52	16.52	0	15.12
8/18/2016	16.41	16.15	16.41	16.12	340	15.01
8/19/2016	16.15	16.4	16.41	16.15	3170	14.75
8/22/2016	16.15	16.15	16.15	16.15	3840	14.75
8/23/2016	16.15	16.15	16.15	16.15	1130	14.75
8/25/2016	16.15	16.15	16.15	16.15	850	14.75
8/26/2016	16.56	16.15	16.56	16.15	3250	15.16
8/29/2016	16.56	16.17	16.56	16.15	4130	15.16
8/30/2016	16.56	16.07	16.56	16.07	120	15.16
8/31/2016	16.56	16.56	16.56	16.56	110	15.16
9/1/2016	16.56	16.55	16.56	16.55	590	15.16
9/2/2016	16.56	16.15	16.56	16.15	250	15.16
9/5/2016	16.53	16.16	16.53	16.16	1040	15.13
9/7/2016	16.53	16.53	16.53	16.53	240	15.13
9/8/2016	16.52	16.52	16.52	16.18	190	15.12
9/9/2016	16.52	16.11	16.52	16.11	190	15.12
9/15/2016	16.15	16.49	16.49	16.15	9840	14.75
9/16/2016	16.07	16.07	16.08	16.07	7880	14.67
9/19/2016	16.05	16.07	16.07	16.02	7980	14.65
9/20/2016	16.15	16.05	16.15	16.05	100	14.75
9/21/2016	16.07	16.07	16.07	16.07	180	14.67
9/22/2016	16.48	16.15	16.48	16.15	350	15.08
9/23/2016	16.48	16.23	16.48	16.23	190	15.08
9/27/2016	16.32	16.31	16.32	16.15	2200	14.92
9/28/2016	16.52	16.52	16.52	16.52	0	15.12
9/29/2016	16.51	16.15	16.51	16.15	380	15.11
9/30/2016	16.49	16.13	16.49	16.13	290	15.09
10/4/2016	16.15	16.14	16.15	16.14	4380	14.75
10/5/2016	16.15	16.15	16.15	16.15	2810	14.75
10/6/2016	16.15	16.15	16.15	16.15	500	14.75
10/7/2016	16.15	16.15	16.15	16.15	110	14.75
10/10/2016	16.14	15.98	16.14	15.98	1180	14.74
10/11/2016	15.72	15.98	15.98	15.72	680	14.32
10/12/2016	15.98	15.98	15.98	15.98	60	14.58
10/13/2016	15.81	15.72	15.81	15.72	1490	14.41
10/14/2016	16.13	15.81	16.14	15.81	120	14.73
10/17/2016	15.73	15.73	15.73	15.73	60	14.33
10/19/2016	16.13	15.74	16.13	15.74	50	14.73
10/20/2016	15.81	15.74	16.13	15.74	1420	14.41
10/21/2016	15.81	15.85	15.85	15.81	2620	14.41
10/24/2016	16.02	16.02	16.02	16.02	20	14.62
10/25/2016	16.02	15.86	16.02	15.86	60	14.62
10/26/2016	16.14	16.14	16.14	16.14	10	14.74
10/27/2016	15.89	15.89	15.89	15.89	10	14.49
10/31/2016	15.85	15.85	15.85	15.85	50	14.45
11/1/2016	15.81	15.85	15.85	15.81	280	14.41
11/2/2016	16.12	15.81	16.12	15.81	790	14.72
11/3/2016	16.12	16.12	16.12	16.12	20	14.72
11/7/2016	15.72	15.77	15.77	15.72	13660	14.32
11/8/2016	15.98	15.94	15.98	15.73	60	14.58
11/9/2016	15.98	16.12	16.12	15.94	310	14.58
11/10/2016	15.81	15.98	15.98	15.81	1540	14.41
11/11/2016	15.98	15.81	15.98	15.81	640	14.58
11/16/2016	16.14	15.77	16.14	15.77	4880	14.74
11/17/2016	16.15	16.14	16.41	16.14	5110	14.75
11/18/2016	16.15	15.95	16.15	15.95	3720	14.75
11/21/2016	15.94	15.95	15.95	15.81	3010	14.54
11/22/2016	15.81	15.81	15.86	15.81	4120	14.41
11/23/2016	15.81	15.81	15.81	15.55	700	14.41
11/24/2016	15.81	15.81	16.12	15.81	1920	14.41
11/25/2016	16.13	16.13	16.13	16.13	0	14.73
11/28/2016	15.88	15.89	15.89	15.86	2050	14.48
11/29/2016	16.12	16.11	16.12	16.11	30	14.72
11/30/2016	16.11	16.1	16.11	16.1	470	14.71
12/1/2016	16.15	16.07	16.15	16.07	8530	14.75
12/2/2016	16.15	16.15	16.15	16.15	820	14.75
12/5/2016	16.23	16.23	16.23	16.23	30	14.83
12/6/2016	16.19	16.15	16.23	16.15	1880	14.79
12/7/2016	16.23	16.19	16.23	15.99	1720	14.83
12/13/2016	16.23	16.23	16.27	16.23	1250	14.83
12/14/2016	15.76	15.76	15.78	15.76	3580	14.36
12/16/2016	16.23	15.77	16.23	15.77	410	14.83
12/19/2016	16.23	15.75	16.23	15.75	220	14.83
12/20/2016	16.23	16.23	16.23	16.23	180	14.83
12/22/2016	16.63	16.27	16.63	16.27	330	15.23
12/23/2016	16.62	16.62	16.62	16.62	60	15.22
12/27/2016	16.77	16.76	16.77	16.75	270	15.37
12/29/2016	16.75	16.74	16.75	16.74	110	15.35
1/2/2017	16.74	16.74	16.74	16.74	40	15.34
1/3/2017	16.48	16.25	16.48	16.25	2240	15.08
1/4/2017	16.44	16.41	16.44	16.41	1410	15.04
1/5/2017	16.29	16.29	16.29	16.29	250	14.89
1/6/2017	16.29	16.29	16.75	16.29	880	14.89
1/9/2017	16.26	16.29	16.74	16.25	1190	14.86
1/10/2017	16.73	16.75	16.75	16.25	2760	15.33
1/11/2017	16.27	16.27	16.27	16.27	280	14.87
1/12/2017	16.75	16.75	16.75	16.75	0	15.35
1/13/2017	16.29	16.27	16.29	16.27	310	14.89
1/16/2017	16.96	16.96	16.96	16.96	10	15.56
1/18/2017	16.46	16.46	16.46	16.28	1270	15.06
1/19/2017	16.46	16.46	16.46	16.46	750	15.06
1/20/2017	16.95	16.45	16.95	16.45	1280	15.55
1/26/2017	16.66	16.66	16.66	16.66	260	15.26
1/27/2017	16.82	16.82	16.82	16.8	310	15.42
1/31/2017	16.83	16.82	16.83	16.81	510	15.43
2/1/2017	16.99	16.99	16.99	16.99	10	15.59
2/2/2017	16.9	16.9	16.9	16.9	2150	15.5
2/3/2017	16.9	16.9	16.9	16.9	730	15.5
2/6/2017	16.9	16.9	16.9	16.9	60	15.5
2/8/2017	17.24	16.9	17.4	16.9	1210	15.84
2/9/2017	17.59	17.24	17.75	17.24	340	16.19
2/10/2017	17.77	17.3	17.77	17.3	1150	16.37
2/13/2017	18.12	17.77	18.12	17.77	120	16.72
2/15/2017	17.59	17.59	17.64	17.59	650	16.19
2/17/2017	17.43	18.02	18.11	17.43	40	16.03
2/20/2017	17.43	17.25	17.43	17.25	100	16.03
2/22/2017	17.25	17.25	17.25	17.25	20	15.85
2/23/2017	17.2	17.25	17.25	16.91	150	15.8
2/24/2017	17	17	17	17	420	15.6
2/27/2017	17	17	17	17	70	15.6
3/1/2017	17.5	17	17.5	17	20	16.1
3/3/2017	17	17.01	17.01	17	340	15.6
3/6/2017	17	17.01	17.01	17	720	15.6
3/7/2017	17	17	17	17	100	15.6
3/8/2017	17.45	16.91	17.46	16.91	1540	16.05
3/9/2017	17.24	17.24	17.24	17.24	10	15.84
3/10/2017	16.91	17	17	16.91	50	15.51
3/13/2017	16.87	16.87	16.88	16.87	240	15.47
3/14/2017	16.87	16.88	16.88	16.87	1240	15.47
3/16/2017	16.87	16.88	17.16	16.87	2830	15.47
3/17/2017	16.87	17.17	17.17	16.87	460	15.47
3/21/2017	16.75	16.87	16.87	16.75	1530	15.35
3/22/2017	16.83	16.83	16.83	16.79	840	15.43
3/23/2017	16.97	17.16	17.16	16.97	20	15.57
3/24/2017	16.76	17.16	17.16	16.76	1180	15.36
3/27/2017	16.75	16.76	16.77	16.75	850	15.35
3/28/2017	17.25	16.8	17.25	16.75	4070	15.85
3/29/2017	17.17	17.25	17.25	17.17	230	15.77
3/30/2017	17.17	17.25	17.25	17.17	920	15.77
3/31/2017	17.24	17.25	17.25	17.24	240	15.84
4/3/2017	16.83	16.84	16.84	16.83	1950	15.43
4/4/2017	16.83	16.84	16.84	16.83	670	15.43
4/6/2017	16.84	17.15	17.15	16.84	30	15.44
4/7/2017	16.87	16.87	16.87	16.87	50	15.47
4/10/2017	16.83	17.25	17.25	16.83	60	15.43
4/11/2017	17.03	17.07	17.07	17.03	80	15.63
4/12/2017	16.99	17.08	17.08	16.99	1970	15.59
4/13/2017	17.04	17.03	17.04	17.03	730	15.64
4/14/2017	17	17	17	17	240	15.6
4/17/2017	17	17.49	17.49	17	250	15.6
4/18/2017	17.09	17	17.09	17	1630	15.69
