Date,Open,High,Low,Close,Div,Adj Close,Volume
6/22/2016,7,7,7,7,0.23,6.77,30
6/23/2016,7.13,7.15,7,7,0.23,6.77,4340
6/24/2016,7.14,7.14,7,7.14,0.23,6.91,4320
6/27/2016,7.14,7.14,7,7,0.23,6.77,3150
6/28/2016,7,7.15,7,7.15,0.23,6.92,4830
6/29/2016,7.05,7.15,7.05,7.05,0.23,6.82,600
6/30/2016,7.05,7.2,7.05,7.2,0.23,6.97,2270
7/1/2016,7.15,7.17,7.15,7.17,0.23,6.94,160
7/4/2016,7.19,7.2,7.05,7.1,0.23,6.87,1090
7/8/2016,7.05,7.1,7.05,7.1,0.23,6.87,670
7/12/2016,7.05,7.05,7.05,7.05,0.23,6.82,520
7/13/2016,7.05,7.1,7.05,7.1,0.23,6.87,5480
7/15/2016,7.1,7.1,7.1,7.1,0.23,6.87,350
7/18/2016,7.15,7.15,7.06,7.06,0.23,6.83,460
7/19/2016,7.1,7.1,7.06,7.06,0.23,6.83,700
7/20/2016,7.06,7.06,6.85,6.85,0.23,6.62,70
7/21/2016,6.65,6.8,6.65,6.7,0.23,6.47,1570
7/22/2016,6.5,6.98,6.5,6.98,0.23,6.75,5760
7/26/2016,6.98,7.05,6.98,7.05,0.23,6.82,2700
7/27/2016,7,7.05,7,7.05,0.23,6.82,1180
7/28/2016,6.9,7.05,6.9,7.05,0.23,6.82,1290
8/3/2016,7.02,7.03,7.02,7.03,0.23,6.8,3300
8/4/2016,7,7,7,7,0.23,6.77,1420
8/5/2016,7,7,7,7,0.23,6.77,10
8/8/2016,7,7,7,7,0.23,6.77,2810
8/9/2016,7,7.03,6.9,7.03,0.23,6.8,2400
8/10/2016,7,7.03,7,7.03,0.23,6.8,740
8/11/2016,7.03,7.03,7.03,7.03,0.23,6.8,160
8/15/2016,7.05,7.05,7.05,7.05,0.23,6.82,150
8/16/2016,7.1,7.1,6.9,7.1,0.23,6.87,2810
8/17/2016,7,7.15,7,7.15,0.23,6.92,1520
8/18/2016,6.96,7.24,6.96,7.2,0.23,6.97,1440
8/19/2016,6.99,7.2,6.99,7.2,0.23,6.97,660
8/23/2016,7.28,7.37,7.28,7.37,0.23,7.14,230
8/25/2016,7.15,7.36,7.15,7.36,0.23,7.13,390
8/26/2016,7.3,7.3,7.3,7.3,0.23,7.07,680
8/29/2016,7.37,7.5,7.37,7.5,0.23,7.27,3550
8/30/2016,7.5,7.6,7.5,7.6,0.23,7.37,1130
8/31/2016,7.6,7.72,7.6,7.7,0.23,7.47,2980
9/1/2016,7.9,7.9,7.59,7.6,0.23,7.37,15150
9/2/2016,7.5,7.6,7.5,7.6,0.23,7.37,5270
9/5/2016,7.6,7.67,7.6,7.67,0.23,7.44,2560
9/6/2016,7.67,7.7,7.51,7.7,0.23,7.47,5050
9/7/2016,7.5,7.7,7.4,7.7,0.23,7.47,89100
9/8/2016,7.7,7.8,7.7,7.7,0.23,7.47,1050
9/15/2016,7.5,7.5,7.5,7.5,0.23,7.27,40
9/16/2016,7.47,7.6,7.47,7.6,0.23,7.37,3590
9/19/2016,7.5,7.7,7.5,7.6,0.23,7.37,960
9/20/2016,7.38,7.7,7.38,7.62,0.23,7.39,750
9/21/2016,7.62,7.62,7.62,7.62,0.23,7.39,80
9/22/2016,7.7,7.7,7.59,7.69,0.23,7.46,1270
9/26/2016,7.7,7.7,7.7,7.7,0.23,7.47,1200
9/28/2016,7.64,7.7,7.64,7.7,0.23,7.47,4000
9/29/2016,7.5,7.7,7.5,7.7,0.23,7.47,970
9/30/2016,7.5,7.5,7.5,7.5,0.23,7.27,120
10/4/2016,7.5,7.8,7.5,7.8,0.23,7.57,1550
10/5/2016,7.79,7.8,7.79,7.8,0.23,7.57,2100
10/7/2016,7.7,7.8,7.6,7.6,0.23,7.37,330
10/10/2016,7.6,7.79,7.6,7.6,0.23,7.37,1320
10/11/2016,7.6,7.75,7.6,7.65,0.23,7.42,5890
10/12/2016,7.6,7.6,7.6,7.6,0.23,7.37,660
10/13/2016,7.67,7.67,7.6,7.6,0.23,7.37,20600
10/14/2016,7.5,7.7,7.5,7.7,0.23,7.47,2020
10/18/2016,7.7,7.7,7.5,7.5,0.23,7.27,3300
10/19/2016,7.4,7.6,7.4,7.5,0.23,7.27,1430
10/20/2016,7.6,7.7,7.6,7.6,0.23,7.37,15420
10/21/2016,7.5,7.55,7.41,7.5,0.23,7.27,7810
